t_neural:float ms,t_physics:float s,frame_id:int,spike_count:int,moose_pos:float[3],hit_bool:int
6965.97,6.96597,209,3335,6.4080;0.0000;0.2000,0
6999.3,6.9993,210,3313,6.3813;0.0000;0.2000,0
7032.63,7.03263,211,4486,6.3545;0.0000;0.2000,0
7065.96,7.06596,212,3333,6.3278;0.0000;0.2000,0
7099.29,7.09929,213,3252,6.3010;0.0000;0.2000,0
7132.62,7.13262,214,4515,6.2742;0.0000;0.2000,0
7165.95,7.16595,215,3217,6.2475;0.0000;0.2000,0
7199.28,7.19928,216,3337,6.2207;0.0000;0.2000,0
7232.61,7.23261,217,4428,6.1940;0.0000;0.2000,0
7265.94,7.26594,218,3374,6.1672;0.0000;0.2000,0
7299.27,7.29927,219,3231,6.1405;0.0000;0.2000,0
7332.6,7.3326,220,4356,6.1137;0.0000;0.2000,0
7365.93,7.36593,221,3334,6.0870;0.0000;0.2000,0
7399.26,7.39926,222,3295,6.0602;0.0000;0.2000,0
7432.59,7.43259,223,4297,6.0334;0.0000;0.2000,0
7465.92,7.46592,224,3338,6.0067;0.0000;0.2000,0
7499.25,7.49925,225,3318,5.9799;0.0000;0.2000,0
7532.58,7.53258,226,4357,5.9532;0.0000;0.2000,0
7565.91,7.56591,227,3284,5.9264;0.0000;0.2000,0
7599.24,7.59924,228,3285,5.8997;0.0000;0.2000,0
7632.57,7.63257,229,4276,5.8729;0.0000;0.2000,0
7665.9,7.6659,230,23075,5.8462;0.0000;0.2000,0
7699.23,7.69923,231,23318,5.8194;0.0000;0.2000,0
7732.56,7.73256,232,4364,5.7926;0.0000;0.2000,0
7765.89,7.76589,233,3344,5.7659;0.0000;0.2000,0
7799.22,7.79922,234,3331,5.7391;0.0000;0.2000,0
7832.55,7.83255,235,4342,5.7124;0.0000;0.2000,0
7865.88,7.86588,236,3304,5.6856;0.0000;0.2000,0
7899.21,7.89921,237,3336,5.6589;0.0000;0.2000,0
7932.54,7.93254,238,4435,5.6321;0.0000;0.2000,0
7965.87,7.96587,239,3275,5.6054;0.0000;0.2000,0
7999.2,7.9992,240,3365,5.5786;0.0000;0.2000,0
8032.53,8.03253,241,4360,5.5518;0.0000;0.2000,0
8065.86,8.06586,242,3230,5.5251;0.0000;0.2000,0
8099.19,8.09919,243,3217,5.4983;0.0000;0.2000,0
8132.52,8.13252,244,4456,5.4716;0.0000;0.2000,0
8165.85,8.16585,245,824,5.4448;0.0000;0.2000,0
8199.18,8.19918,246,3326,5.4181;0.0000;0.2000,0
8232.51,8.23251,247,4502,5.3913;0.0000;0.2000,0
8265.84,8.26584,248,3273,5.3645;0.0000;0.2000,0
8299.17,8.29917,249,3231,5.3378;0.0000;0.2000,0
8332.5,8.3325,250,4350,5.3110;0.0000;0.2000,0
8365.83,8.36583,251,3305,5.2843;0.0000;0.2000,0
8399.16,8.39916,252,3257,5.2575;0.0000;0.2000,0
8432.49,8.43249,253,4376,5.2308;0.0000;0.2000,0
8465.82,8.46582,254,3262,5.2040;0.0000;0.2000,0
8499.15,8.49915,255,3313,5.1773;0.0000;0.2000,0
8532.48,8.53248,256,4424,5.1505;0.0000;0.2000,0
8565.81,8.56581,257,3283,5.1237;0.0000;0.2000,0
8599.14,8.59914,258,3319,5.0970;0.0000;0.2000,0
8632.47,8.63247,259,4346,5.0702;0.0000;0.2000,0
8665.8,8.6658,260,3264,5.0435;0.0000;0.2000,0
8699.13,8.69913,261,3377,5.0167;0.0000;0.2000,0
8732.46,8.73246,262,4419,4.9900;0.0000;0.2000,0
8765.79,8.76579,263,3336,4.9632;0.0000;0.2000,0
8799.12,8.79912,264,3299,4.9365;0.0000;0.2000,0
8832.45,8.83245,265,31038,4.9097;0.0000;0.2000,0
8865.78,8.86578,266,22918,4.8829;0.0000;0.2000,0
8899.11,8.89911,267,3308,4.8562;0.0000;0.2000,0
8932.44,8.93244,268,4406,4.8294;0.0000;0.2000,0
8965.77,8.96577,269,3398,4.8027;0.0000;0.2000,0
8999.1,8.9991,270,3240,4.7759;0.0000;0.2000,0
9032.43,9.03243,271,4386,4.7492;0.0000;0.2000,0
9065.76,9.06576,272,3270,4.7224;0.0000;0.2000,0
9099.09,9.09909,273,3233,4.6957;0.0000;0.2000,0
9132.42,9.13242,274,4421,4.6689;0.0000;0.2000,0
9165.75,9.16575,275,3272,4.6421;0.0000;0.2000,0
9199.08,9.19908,276,3244,4.6154;0.0000;0.2000,0
9232.41,9.23241,277,4408,4.5886;0.0000;0.2000,0
9265.74,9.26574,278,3390,4.5619;0.0000;0.2000,0
9299.07,9.29907,279,3209,4.5351;0.0000;0.2000,0
9332.4,9.3324,280,4339,4.5084;0.0000;0.2000,0
9365.73,9.36573,281,3305,4.4816;0.0000;0.2000,0
9399.06,9.39906,282,3328,4.4548;0.0000;0.2000,0
9432.39,9.43239,283,4406,4.4281;0.0000;0.2000,0
9465.72,9.46572,284,3275,4.4013;0.0000;0.2000,0
9499.05,9.49905,285,3381,4.3746;0.0000;0.2000,0
9532.38,9.53238,286,4291,4.3478;0.0000;0.2000,0
9565.71,9.56571,287,3292,4.3211;0.0000;0.2000,0
9599.04,9.59904,288,3277,4.2943;0.0000;0.2000,0
9632.37,9.63237,289,4381,4.2676;0.0000;0.2000,0
9665.7,9.6657,290,3300,4.2408;0.0000;0.2000,0
9699.03,9.69903,291,3338,4.2140;0.0000;0.2000,0
9732.36,9.73236,292,4451,4.1873;0.0000;0.2000,0
9765.69,9.76569,293,3307,4.1605;0.0000;0.2000,0
9799.02,9.79902,294,3371,4.1338;0.0000;0.2000,0
9832.35,9.83235,295,4377,4.1070;0.0000;0.2000,0
9865.68,9.86568,296,3383,4.0803;0.0000;0.2000,0
9899.01,9.89901,297,3273,4.0535;0.0000;0.2000,0
9932.34,9.93234,298,4442,4.0268;0.0000;0.2000,0
9965.67,9.96567,299,3312,4.0000;0.0000;0.2000,0
